Iteration	Posterior	Likelihood	Prior	rate01	rate_log_sd	tree_length
0	-7089.562	-7504.445	414.8831	0.2647264	1.542781	4.176844
6	-7108.202	-7523.092	414.8899	0.2599051	1.548193	4.176844
12	-7144.164	-7557.618	413.4534	0.2633151	1.446721	5.034891
18	-7110.369	-7523.778	413.4097	0.2671122	1.508766	5.019428
24	-7123.904	-7539.749	415.8454	0.2434975	1.705524	3.562163
30	-7129.95	-7544.922	414.9715	0.2392454	1.556231	4.156608
36	-7119.996	-7533.608	413.6125	0.2321207	1.415883	5.009261
42	-7115.137	-7527.697	412.5595	0.2627949	1.390893	5.560027
48	-7112.43	-7525.635	413.2055	0.2659776	1.409072	5.189449
54	-7107.416	-7520.276	412.8604	0.2659776	1.411244	5.378836
60	-7106.605	-7518.614	412.0089	0.2692268	1.364596	5.867283
66	-7122.34	-7534.246	411.9064	0.3119134	1.384767	5.856779
72	-7130.499	-7544.848	414.3488	0.2388471	1.595291	4.487224
78	-7144.7	-7559.327	414.6273	0.2252962	1.549428	4.377042
84	-7132.031	-7546.867	414.8363	0.2401298	1.517673	4.253906
90	-7124.435	-7538.411	413.9766	0.284703	1.457798	4.707751
96	-7116.823	-7529.876	413.0532	0.2946461	1.360467	5.26196
102	-7119.087	-7533.536	414.4492	0.2709549	1.524134	4.424075
108	-7131.217	-7545.04	413.8236	0.2598624	1.483376	4.813351
114	-7132.515	-7545.722	413.2074	0.2532511	1.415583	5.202749
120	-7139.972	-7553.368	413.3956	0.2532511	1.388543	5.113557
126	-7136.744	-7552.777	416.033	0.1971161	1.578105	3.60339
132	-7127.383	-7543.422	416.0398	0.2635944	1.606064	3.476515
138	-7106.923	-7522.214	415.2906	0.2308065	1.606064	3.959287
144	-7113.381	-7528.254	414.8739	0.2524906	1.598862	4.168006
150	-7106.811	-7521.946	415.1349	0.2430112	1.61762	4.022849
156	-7115.457	-7531.46	416.0022	0.2714944	1.61762	3.480141
162	-7110.731	-7526.348	415.6165	0.2726216	1.61762	3.702565
168	-7096.234	-7511.868	415.6336	0.2753324	1.678828	3.653401
174	-7101.875	-7517.329	415.4541	0.2698987	1.616046	3.801048
180	-7110.247	-7525.398	415.1504	0.2439042	1.569756	4.039978
186	-7120.528	-7534.034	413.5053	0.2551734	1.569756	4.949279
192	-7115.186	-7528.698	413.5126	0.2633966	1.437376	5.007136
